Comments,Classes
Jesey apka isteqbaal Kar k khawja Asif k well come ko mitaa Diya tha,NA
content se hut kr baat ko pesh krna ap ka kaam h kuch nhi keh skte ap ko,NA
Ye to khud ghulam ha or buht dor nikal gya ha ghulami men bhe choron ki,A
NAWAB SADIQ ki mehrbani aur pori kaoom bhugat rahi hai aur Talal jaisey dalal ki batein sun rahey hain,A
Beta ab btaty hain tujhy kitny pani mien ho tm,NA
Tum sab loog beesharam aur beegairat hoo. Galaa khool khool kar video banaa rahyee hoo. ,A
bichari ki galtion ki waja se koi usse bola nei rha,NA
gality nae pora lolipop kha gye ha,A
Allah b too maff kr dyta aa naa frr ??,NA
Yeh sary aik hi line main hain bss uska samny agya hai. unke raaz hain,NA
izar or zelat mera ALLAH Deta hi,NA
yr ye kesay logo ko Face kr laiti Ha,NA
Yara mara khud dill bohat auds hoia isi dakh kr,NA
har insan gunegar he har insan khata ka h lekin bas kisi k ayeb samne ajate hn kisi k parde me rehte hn,NA
whan ni jana chaye jahan izzat na ho,NA
Wah kya logic hai is lihaz to Palestinians ko nh isreal ko tasleem kr lena chahea tha kiun k akhir to Palestine tabah he hua ya ilzam hamla war ko nh defender pe dya ka rha hai,NA
bohut shok hai muje boxing ka,NA
wo bnda let ke kia kr ra,NA
os k nahi bro un k education Ke alava akhlaq Bhi honi chahie,NA
is bacha ki hifazt farmya .. warna asa himmt wala insan aksar khahi lash ya gumnam hojta ha,NA
Khc jali nhi he sab bht ahca he,NA
tenu sb tu phla marna chayi da,A
bhai main bhi aesi he panoti hun jis cheez ko seekhti hun scope khtm ho jata hai,NA
samjh nhi ai kia bola bhai ny yrr,NA
mry se bi teacher nan pocha tha kya feature plan ha ma nan kha sahdi ur kya krnan,NA
achi ma'am han aik dafa class li thi ma'am se,NA
bsdk,A
bhen chod tum log,A
mc tum logo ki,A
"Kya be behnchod, har post pe bakwas karta hai",A
Tujh jaise chutiyo ki wajah se hi to mulk barbaad hai,A
Ma sha Allah bohat pyaari baat ki bhai,NA
"Teri maa ka bhosda, chup kar ab",A
Yar bhai dil se dua mil rahi hai aapko,NA
Bhosdike logic se to bandar bhi confuse ho jaye,A
Tameez ka bhi koi level hota hai bhai,NA
Bakchod log har jaga milte hain,A
"Bhai tu to legend nikla yaar, love you",NA
Gaand mara ke aya hai kya? Bakwas band kar,A
"Teri maa ki chut, tu bolta hai logic",A
"Zabardast editing hai bhai, fully impressed",NA
Bhadwe jaise comments chorh raha hai har jaga,A
Teri gaand mein drone ghoos gaya kya?,A
Allah sab ko hidayat de bhai,NA
Chutiya samajh rakha hai kya sab ko?,A
Tum ne real baat bol di dil se,NA
Bhai kis gali ke kutte ho tum?,A
Tu har jagah apni maa behn ki gaaliyon se shine karta hai,A
"Mashallah bhai, ache alfaaz thay",NA
Bhenchod dimagh ka ilaaj karwa le,A
Tum ne to dil khush kar dia bhai,NA
Itni gaand phati hui baat pe comment kar raha hai?,A
"Bhai full support, sach bol dia",NA
Haramzade jaise log hi trolling karte hain,A
Aapke alfaaz bohat asar karte hain,NA
Tu jahan jaata hai lanat hi chhor ke aata hai,A
"Love the positivity bhai, keep going",NA
Gaali ke bagair baat nahi karta tu?,NA
Zindagi mein kabhi bhi negative mat sochna,NA
Teri maa ki chut mein akal dal ke aya hai kya tu,A
"Yeh video bohat informative thi, dil khush ho gaya",NA
Behnchod har post pe bakwas ka thela khol deta hai,A
"Mashallah bhai, Allah kamyabi de hamesha",NA
Tere baap ka lund bhi sharmaye itni bakwas pe,A
"Real talk bhai, respect for you always",NA
Gaand mein dasti ho gayi lagta hai tujhe,A
Bhai dil se dua nikalti hai tumhare liye,NA
Tum jaise harami logon ki wajah se hi mulk dooba hai,A
"Yeh line bohat strong thi, samajh gaye bhai",NA
Teri maa ki chut ka GPS mila tujhe?,A
Wah bhai kya baat boli hai aap ne,NA
Bhosdi ke dimagh ghar pe chhor ke aaya hai kya?,A
Tumhara andaz bolne ka alag aur behtareen hai,NA
Gaand mein mirch lag gayi kya comment deke?,A
Yeh video dekh ke motivation mila,NA
Tu to chutiya ka baap nikla be,A
Bhai logon ka confidence barhane wali post thi,NA
Teri maa ka lund teri akal se zyada kaam karta hai,A
"Sahi kaha bhai, society ko samajhne ki zarurat hai",NA
Madarchod har jagah bakwaas karna zaruri hai kya?,A
Aapki soch bohat inspiring hai,NA
Chutiyon wali harkatein mat kar har waqt,A
Apka calm tone sun ke sukoon mila,NA
Gaand fat gayi tujhe sach sun ke?,A
"Nice editing bro, maza aaya dekh ke",NA
Teri behn ki chut ka content viral kar raha hai tu,A
Tumhara message bohat asardar hai bhai,NA
Beghairat insan kisi ki izzat nahi karta,A
Sabr aur shukr wali baat dil tak lagi,NA
Teri maa ki chut mein dhoop lag rahi hai kya?,A
Positivity failana sab se bara kaam hai,NA
Lund chusne ke liye aaya hai kya comments mein?,A
"Kya baat hai bhai, sach bol dia",NA
Bhosdike apna munh bandh rakh kabhi,A
"Mashallah bhai, respect for your mindset",NA
"Tu to kutta bhi nahi, kutte ka peshaab hai",A
Zindagi ki yeh baat bohat gehri thi,NA
Maa behn ek kar ke aata hai har jagah,A
Bhai appreciate karta hoon main aapko,NA
Teri gaand mein saman daal ke bol raha hai tu?,A
Support milta hai jab aise log sach bolte hain,NA
Bhenchod logic ka loda banake firta hai,A
Aap jese logon ki zarurat hai society mein,NA
Tere jaise madarchod sab kuch barbad kar dete hain,A
"True words bro, needed this today",NA
Apne lund se likh raha hai kya tu yeh sab?,A
"Good vibes only bhai, proud of you",NA
Tujhe to gaand chaatne ke alawa kuch aata nahi,A
Video ka har lafz heart touch tha,NA
Teri maa ke chut ka status update de raha hai kya?,A
Yeh message mindset change kar deta hai,NA
Tere jaise harami paida hone hi nahi chahiyein,A
Simplicity mein bhi elegance hoti hai bro,NA
Bhenchod ne content viral karne ke liye nanga ho gaya,A
Tera calm reply bohat ache se samjhaya sab kuch,NA
Gaand marao fir bolta hai sach bola,A
"Dil se keh raha hoon, bohat ache ho tum",NA
Tu to lund ka jhaag hai society ka,A
"Zabardast effort tha bhai, appreciate karta hoon",NA
Teri maa ki chut ka screenshot bhej raha hai kya?,A
"Thank you bhai, is post ne ankhain khol di",NA
Behnchod tujhmein tameez naam ki cheez nahi,A
Tumhari soch ne dil jeet liya,NA
Maa ki chut pe baith ke internet chalata hai kya tu?,A
Khushi hui ye dekh ke kisi ne finally ye bola,NA
Tere jaise lund choosne wale har platform pe hote hain,A
Aapke alfaz asar karte hain,NA
Bhai tu to gaand mein mirchi daal ke aaya hai lagta hai,A
Dil chhune wali baat kahi bhai ne,NA
Tu lund ki photo pe debate kar raha hai kya?,A
"Real and raw content, appreciate karta hoon",NA
Abey chutiye ye indian army ka hai har jagah chatna chalu mat krdiya kro sharam to kara kr yaha bhi neta neta khel rha hai,A
Chutiye tab nuclear weapons nhi hote the dono ke pass...aj ke time ki war me ham jeet to jaate but nuksan hamara bhi hota,A
Thok na kha gyi tumari musala foj kha hai Asim munir aa rhe hai Rawalpindi sale porkis,A
"Jeet toh jate? Itne nuclear capability hai dono countries el dusre ko 3 bar khatam Kar dete. Koi nhe jeetta. wo zamana Gaya jab jung jeeti jati thi, ab sirf annihilation hoti hai.",NA
Ja tatti kr khaiton mai bsdk. Lol laashe bichengi,A
Phla Indian dekha jo educated lga hai,NA
Ye manhoos vote hasil Karn K lia war cheerta h sala kanjar,A
Bina rafale and s400 ke Bangladesh banaya tha indira jee ne,NA
Are beti chod,A
Kam se kam spelling to dhek leta,NA
Tu log ek hi tweet ko different different account se send kar raha ha,NA
Aba ke taraf se jo sms aa raha hai wahi send kar de raha hai,NA
"abey pagal hai kya, nuclear tak baat pahunch gyi thi dono desh khatam ho jate, ab hum develpment pe focus kar payegnge shanti se",A
Bangladesh banane ka fyda bhi kyq hua udhar bhi hindus 2 percent rah gye,NA
Abey padhai kar leta. Jo muh me aaya bas likh diya. Aur likh to aise raha h jaise tere is narrative se kuch farq padega. Nunnu,A
humara target unke terrorist camps the hamne unko destroy kiya,NA
"Ek jamaney mein ek insan bolatha ""Assam ki galiyan suni hey, Indira Gandhi khuni h""",A
Jitne bhi tode vo aaj aankh dikhaa rahe hai..kyaa faydaa aisaa todaa uskaa,NA
Bangalesh create kr ke bhi BKL india mai aare hai,A
Yahi pta chal jata hai operation baniyan ka k liye koi footage bhi nahi hai 2 missile fire k video dal diye,NA
Tere man ke chut bhain loray matar chod gand men lun de de banda tere chutiya Supreme ,A
Haan bas India hi accept nhi kare ga,NA
Are Teri gaand me dum hy tho proof dikane ke liye bolo madarchod,A
"Muzic to haram hai, nachna bhi haram hai , as per ola",NA
Bc fake narratives se economy nahi chalti Bhikhari log! Pehle khana pani ka intezam kro,A
O dhamal Pao dhamal,NA
BSDK… tumhari govt kee phati padi hai. Saari artillery India border pe move kar rahe hain. Aur tu yaha gyaan pel raha hai.,A
Abe ye coaching center hai ‘Indore physical academy’ ka search kr le google par…advertisement hai bs,NA
Yeh bhadwa jab b india aagye iski maa chod dena indians,A
Coching centre ka hai,NA
Chup chaman chutiya,A
Indor physical academy,NA
Are chutiya teko reporter kn bna diya .indore physical academy ka video hai ye .,A
"Jab paise pe baat ati hai to, hum modi ji ki na sune. Aajkal patriotism ki misal to wahi hain na  desh me",NA
PAKISTAN KI MKC,A
"Laaton ke bhoot, baaton se nahi maante.",NA
Gandu porkistan,A
astaghfar ese dardnaak moth Allah pak Kisi dushman ko bi na dy Ameen,NA
maa chod diye inki,A
apny parents k sth ku nai rehti thi,NA
Maa ki chuut Bhai ab aur kitne din rukna hai,A
jab sy news suny h dil bht preshan h raat ko so nai sky parents pata nai kesy h,NA
Suaro ki kami nahi hai,A
"ALLAH Pak USKi maghfirat farmaye, hum bhi Kisi din aisy hee kisi kamry SE milengy insha'ALLAH",NA
Aman ki asha ki MKB,A
Allah na kre bro ase nhi bolo Allah se shahadad wali muot mango bro,NA
Are bhai thoda sa chutiya ho kya,A
shukar hai koi aisa star b hai jo gairat mund b hai,NA
Tu thoda sa bkl hai kya,A
isne khud line khenchi hgi ke kya aur kitna krna hai.,NA
Are benchod iski joining hui hai Army me isliye khusi se ro raha.,A
India jab gay tha tab parda kaha gaya tha,NA
Bhag madachod fake video,A
bas asa waqt na Aya kisi par Meri waja sa is liya hi peecha hon is SBA sa,NA
Bhen chod beghairat hukumat ka kaam yehe hea,A
apki life ma hai koi asa ?,NA
Bhi phoddi ka tarsa hova,A
achi bat hai kabhi b apni khushiya dosry insan pe depend nahin karna,NA
Bc butt,A
es vedio ko deakh kr mujy rona a gya,NA
"IMRAN charay chan Tay,  foj Meray lan Tay",A
mery wala bhi aisa he h,NA
O bai any do on ko zra ..ye pkistan hy ..bai ..yhan srf ..pak Army baki Kosh nhi ..in sha Allah,NA
bro Yarra ap ki voice hadd ha bro Allah na ap ko Buhat pyari awaz is lia b de ha ka ap buhat acchi batty karty hu Islamic.,NA
goldsmith k nawasey b Hein. Tum logo ne bathroom se bahir ni nikalna,A
bhai aapki awaaz sunkar mujhe Rona a jata hai,NA
ab Hoga mout Ka khel,NA
YE TOH honna parta hai Jab ham. apne hisse k burai ko pella tai hain dunya main,NA
gg me b nhi thi us time warna me nawaz sahrif ko batati,NA
shoib akhtar hota ziyda Chas ati,NA
Bhen chod beghairat hukumat ka kaam yehe hea,A
Yar wahab raiz ny isko out kr diya tha catch drop kr diya tha rat ali ny mny ya match live dakha tha,NA
bhaiii nu labb k dawo koii bhaii tarsyaa pyaa jyy,NA
uffffffffffffffffff Yara ya match dobra yad ageya ha ab dobra match kahln Ka Dil Kar Raha ha,NA
Bhi phoddi ka tarsa hova,A
ak bgrt pichy Hans Raha pakr koi ni Raha alhamdulilah kabhi Apne Walid ko ayse nhi kaha,NA
mainy 5 saal laga kar D pharmacy ki hy aur abu kehty hain phakiyan banata hy,NA
Yamal ka ballon d'or chud gaya,A
milta sab ko he but jis k bap ne hlal khilaya ho wo hram nai khata,NA
defense tou chud e gaya,A
Teri shakal dekh ke to dard ho jata hai.,A
"Wah, tumhari baat samajh mein aayi.",NA
"Chal bhaag yahan se, samjha?",NA
Tumne to bohot ache se explain kiya.,NA
Tu to bilkul hi pagal nikla.,A
Aapki baat se himmat mili.,NA
Tera dimaag ghutno mein hai kya?,A
Mujhe aapka approach pasand aaya.,NA
Tujh jaisa bewakoof maine nahi dekha.,A
Tumhara perspective logical hai.,NA
Apni bakwas band kar aur nikal.,A
Tumhara idea kaafi unique hai.,NA
"Dimagh ka ilaaj karwa le, zarurat hai.",A
Aapki soch bohot constructive hai.,NA
Teri harkat dekh kar hasi bhi aayi aur gussa bhi.,A
Aapki guidance ne help ki.,NA
Tu hamesha fazool bakta rehta hai.,A
Aapka message inspiring tha.,NA
Tujhe samajh nahi aati kya baar baar?,NA
Zabardast explanation tha.,NA
Tera logic sun kar dard ho gaya.,NA
Yeh learning experience acha laga.,NA
Chal nikal warna gaali niklegi.,NA
Tumhara feedback valuable tha.,NA
"Behn ke lode, har baat mein tang adata hai.",A
Mujhe aapka tone calm laga.,NA
Teri soorat dekh ke lagta hai dard hi dard.,A
Aapki honesty achi lagi.,NA
Tu har waqt negativity failata hai.,NA
"Wah bhai, mazay ka content hai.",NA
Teri bakwas ki had hoti hai.,A
Tum bohot understanding ho.,NA
Tu sirf lafzon ka dukan hai.,NA
Tumhara content hamesha positive hota hai.,NA
Tu pagal khane ka case hai.,A
"Great effort, really appreciated.",NA
Tujhse zyada illogical koi nahi.,NA
Good job on this!,NA
Bakwas band kar warna block karunga.,A
Mujhe tumse agree karne ka mann hua.,NA
Teri har baat mein zeher bhara hai.,A
Very motivating explanation.,NA
Tu to bas sabka dimaag khata hai.,A
Tumhari thinking kaafi progressive hai.,NA
Bakwaas ka bhandar hai tu.,A
Liked your way of explaining.,NA
Tujh jaisa cheap banda nahi dekha.,A
Tumhara tareeqa samajhne layak tha.,NA
Tera muh band rakhna chahiye tha.,NA
Tum bohot polite ho.,NA
Tujhse achi to AI hai.,NA
Nice way to break it down.,NA
Teri harkat se bas gussa aata hai.,NA
Tumhari explanation kaafi clear thi.,NA
Chup kar ja gawar.,A
Mujhe learning ka maza aya.,NA
Dimagh ka reset button chahiye tujhe.,NA
Tumne bohot achha tareeqa bataya.,NA
Tu logic ki maa behn kar deta hai.,A
Aapka idea ne vision diya.,NA
Tujhe to sharam bhi nahi aati.,A
"Wah, simple and useful.",NA
Tu sirf bakwas machine hai.,A
Samajhne mein asani hui.,NA
"Beghairat insaan, tameez seekh.",A
Presentation bohot clear thi.,NA
Mujhe tujhe dekh ke chakkar aata hai.,NA
Insightful message tha.,NA
Teri baatein sun ke dimagh sard gaya.,A
Good balance between examples.,NA
Kya hi chutiya explanation di tu ne.,A
Helpful content as always.,NA
Tu har waqt negativity mein rehta hai.,A
Aapke words motivate karte hain.,NA
"Bas kar ab, dimagh phat gaya.",NA
Simple aur impactful baat thi.,NA
Teri soorat se negativity tapakti hai.,A
Appreciate the effort.,NA
"Chal nikal, warna block kar dunga.",A
Tumhara tareeqa inspiring hai.,NA
Tujhe dekh ke frustration hoti hai.,A
Tumne clarity se bataya.,NA
Tu logic ka dushman hai.,NA
Keep up the good work.,NA
Tujhse baat karke depression ho gaya.,NA
I learned something new today.,NA
Dimagh mat kharab kar aur ja.,A
Tumhara content quality wala tha.,NA
Behnchod ka logic leke aya hai tu?,A
The examples made it easy.,NA
Tere jaise log sab kuch barbad karte hain.,A
Tumne clearly sab samjhaya.,NA
Tu frustration ka live demo hai.,A
Loved how simple you kept it.,NA
Tere muh se sirf bakwas nikalti hai.,A
Very understandable explanation.,NA
Tu to chalta phirta sarcasm hai.,NA
Itna clear pehli baar samjha.,NA
Tera dimaag damage hai kya?,A
Bohot hi structured tareeqa tha.,NA
"Bakwas mat kar, chup reh.",A
Tumhara point logical tha.,NA
Tujh se bada bewakoof nahi dekha.,A
Bohot productive response tha.,NA
Apni gaaliyan apne paas rakh.,NA
Tumhara vision samajh aaya.,NA
Teri negative vibes se sar dard hota hai.,A
Loved the simplicity of words.,NA
Tu sirf tang karne ke liye aya hai.,Na
Aapka tone bohot calm tha.,NA
Tera presence hi depressing hai.,A
Very thoughtful point.,NA
Tu zinda example hai bewaqoofi ka.,A
Really enjoyed your explanation.,NA
Tujh jaise logon ki wajah se society kharaab hai.,A
"Thanks, I learned a lot.",NA
Tera jawab chutiyaapan tha.,A
Tareeqa samajh mein aaya.,NA
Tere comments zehr hain.,A
Nice explanation and language.,NA
Tu logic se door ka rishta bhi nahi rakhta.,NA
Appreciated your thoughtful response.,NA
Bakwas ke alawa kuch nahi aata tujhe.,A
Bohot useful information thi.,NA
to begarit chup kar nikal,A
ja ja ab aya to bhosdi ki ander lan do ga,A
bhi ya video bhot uper jay gi,NA
kia bat hoi aj tuny muth nahi mari,A
muth mar mar kar pagal ho chuka hay to,A
meray dost sab say achy hay ,NA
aj chaltay hay paharo ma chal ajo sab,NA
aby ek begarit bar bar gand ma ungli kar raha hay,A
ungli na kar,NA
pura hath dey do ga chutar ma ,A
or suna kal bara acha din guzra,NA
yar aj mam nay bhot tareef ki mari,NA
ma tum say piyar karta ho ,NA
Chaye piyo taake tension na ho,NA
Baty e krogy ya jang bhi krogy.,NA
Laant ho ap pe,A
Oooooooh achhhhhha,NA
Tea is fantastic,NA
Gaye ka mootar peenay walay khaak muqabla karain ge,A
Pakistan zindabad,NA
Jang takat se lari jati ha,A
Ensa Alla,NA
Pakistan ka pass ek Allah and Muhammad s.a.w.sath ha Allah Muhammad humera sath ha,NA
Agar jung chidi to tum isko cover karne ke liye bachoge hi nahi khunki Indian army kehte hain humein.,NA
Islam zinda Pakistan zindabad Pak fauj zindabad,NA
Pakistan zindabad,NA
"Kuti ke bachay phir bhi apne maalik ke wafadaar hotay hain, yeh youthiye pata nahi kis ke bachay hain",A
Yeh hain woh nojawan youthiye jo kaha karte thay: meri ammi Khan se shadi karna chahti hai aur mere abu ko koi aitraaz nahi,A
"Fauj ki misaal us nakaara uzoo jaisi ho chuki hai jise ab josh aana band ho chuka, ise chaahe haath se sehlaate raho, yeh phir bhi neend se bedaar nahi hota",NA
fitna murda bad,A
"Tum log sare khusry ho, mard sirf aik hai jo Adiala jail mein hai",A
ghalazat par palne walay keeray,A
Pak fauj zindabad,NA
Sadiq jaan Imran Khan rapsi (bankruptcy) ke baad nai niche ki talash mein sargardan,NA
"Qab bayan aaya agar aayega to woh India ka support kar raha hoga, jitne bhi yeh youthiology hai yeh sab Pakistan ke khilaf hai",A
PTI baghairat party hai Pakistan ke dushman hain,A
"Aap jaise bohat bakwas karte hain, aap bhi bhonkte raho koi farq nahi parta",A
Nacha wali da puttar howe ta jhoota na howe ae ho nahi sakda,A
Khan sahab Pakistan gand daalnay wale fitnay ki manind hai,A
"Koi hamla nahi ho ga, sab propaganda hai",NA
Chor Imran Khan,A
Pak Army zindabad,NA
Jhoot bayan na kiya karo yeh to naam hi jhoot ke hain,A
Imrani fitna murda bad,A
"PSL ka match Lahore Wagah border ke paas chal raha hai, India mein IPL chal raha, aur KP mein jang ke siren baj rahe hain. Ajeeb drama hai",NA
Tosha khana chor family,A
General Asim Muneer zindabad,NA
Bakwas,A
Leader jab giraftar ho jaye to uski rihaai poori qoum ki zimmedari hoti hai,NA
Jhooton ka IG... jhoot bol bol kar nahoosat tapak rahi hai,A
Kuch log jang ki aadh mein apne choron ki rihaai ki ummed kiye baithe hain. Yeh armaan hi rehna hai,A
Pakistan woh jang kabhi nahi laday ga jiska markaz Punjab ho,NA
Tere baap Niazi ne jail mein bhi bund marwa li hai,A
Gashti ke bachay,A
"Laaanat Imran Yahoodi par, Pakistan ko barbaad kar diya lanti insaan ne",A
Jooth ka palanda ho tum,A
Sab bkhwas kar raha tu haraami koi to dhang ki baat kar liya karo,A
"Natchan waliyan de puttar azaadi di jang nahi lad sakde, kaali kuti ke bachay tum log India ki god mein Pakistan pe bhonkte ho",A
jese beghairat sahafi Imraniya Qadiyani fitna ka hissa hain,A
Ganda lifafa Imrando tum khud Pakistan dushman quwaton ka tatto taira ghulam ho Sadiq Jaan,A
"Gashti ke bachay harami youthiye, jhoot aur bakwas",A
"Tere jaisa kutta bhi tajziya nigaron mein shamil hai, afsos hi kiya ja sakta hai",A
